"concept_id_1","concept_id_2","relationship_type"
"Terminal Illness","Incurable Illness","Sibling"
"Terminal Illness","Irreversible Illness","Sibling"
"Terminal Illness","Non-Terminal Illness","Sibling"
"Terminal Illness","Curable Illness","Sibling"
"Terminal Illness","Reversible Illness","Sibling"
"Terminal Illness","Prognosis good","Parent"
"Terminal Illness","Prognosis bad","Parent"
"Incurable Illness","Irreversible Illness","Sibling"
"Incurable Illness","Non-Terminal Illness","Sibling"
"Incurable Illness","Curable Illness","Sibling"
"Incurable Illness","Reversible Illness","Sibling"
"Incurable Illness","Prognosis good","Parent"
"Incurable Illness","Prognosis bad","Parent"
"Irreversible Illness","Non-Terminal Illness","Sibling"
"Irreversible Illness","Curable Illness","Sibling"
"Irreversible Illness","Reversible Illness","Sibling"
"Non-Terminal Illness","Curable Illness","Sibling"
"Non-Terminal Illness","Reversible Illness","Sibling"
"Non-Terminal Illness","Prognosis good","Parent"
"Non-Terminal Illness","Prognosis bad","Parent"
"Curable Illness","Reversible Illness","Sibling"
"Curable Illness","Prognosis good","Parent"
"Curable Illness","Prognosis bad","Parent"
"Reversible Illness","Prognosis good","Parent"
"Reversible Illness","Prognosis bad","Parent"
"Renal dialysis","Special requests","Sibling"
"Renal dialysis","Surgery","Sibling"
"Renal dialysis","All available treatment","Child"
"Renal dialysis","Life sustaining measures","Child"
"Natural death","Spiritual or religious belief","Child"
"Natural death","Respect","Child"
"Natural death","Surgery","Sibling"
"Natural death","All available treatment","Sibling"
"Blood transfusion","Special requests","Sibling"
"Blood transfusion","Spiritual or religious belief","Child"
"Blood transfusion","Surgery","Sibling"
"Blood transfusion","All available treatment","Child"
"Blood transfusion","Life sustaining measures","Child"
"Tissue donation consent","Spiritual or religious belief","Child"
"Tissue donation consent","Organ donation consent","Sibling"
"Tissue donation consent","Signatures","Parent"
"Tissue donation consent","Normal state of mind","Parent"
"Special requests","Organ donation consent","Sibling"
"Special requests","Surgery","Sibling"
"Special requests","All available treatment","Sibling"
"Intensive care unit","Home","Sibling"
"Intensive care unit","Location hospital","Sibling"
"Intensive care unit","Place of death","Child"
"Home","Location hospital","Sibling"
"Home","Place of death","Child"
"Location hospital","Place of death","Child"
"Spiritual or religious belief","Respect","Sibling"
"Spiritual or religious belief","Organ donation consent","Parent"
"Spiritual or religious belief","Belief","Child"
"Respect","Maintaining dignity","Sibling"
"Respect","Comfort","Parent"
"Respect","Right to privacy maintained","Parent"
"Guardian","Signatures","Parent"
"Enduring Power of attorney","Signatures","Parent"
"Independence","Able to feed self","Parent"
"Independence","Able to wash self","Parent"
"Independence","Does recognise familiar people","Parent"
"Independence","Able to dress","Parent"
"Independence","Able to move","Parent"
"Independence","Able to walk","Parent"
"Independence","Able to talk","Parent"
"Independence","Able to communicate thoughts","Parent"
"Independence","Life unbearable","Parent"
"Independence","Life bearable","Parent"
"Able to feed self","Able to wash self","Sibling"
"Able to feed self","Does recognise familiar people","Sibling"
"Able to feed self","Able to dress","Sibling"
"Able to feed self","Able to move","Sibling"
"Able to feed self","Able to walk","Sibling"
"Able to feed self","Able to talk","Sibling"
"Able to feed self","Able to communicate thoughts","Sibling"
"Able to feed self","Life unbearable","Parent"
"Able to feed self","Life bearable","Parent"
"Able to wash self","Does recognise familiar people","Sibling"
"Able to wash self","Able to dress","Sibling"
"Able to wash self","Able to move","Sibling"
"Able to wash self","Able to walk","Sibling"
"Able to wash self","Able to talk","Sibling"
"Able to wash self","Able to communicate thoughts","Sibling"
"Able to wash self","Life unbearable","Parent"
"Able to wash self","Life bearable","Parent"
"Does recognise familiar people","Able to dress","Sibling"
"Does recognise familiar people","Able to move","Sibling"
"Does recognise familiar people","Able to walk","Sibling"
"Does recognise familiar people","Able to talk","Sibling"
"Does recognise familiar people","Able to communicate thoughts","Sibling"
"Does recognise familiar people","Life unbearable","Parent"
"Does recognise familiar people","Life bearable","Parent"
"Able to dress","Able to move","Sibling"
"Able to dress","Able to walk","Sibling"
"Able to dress","Able to talk","Sibling"
"Able to dress","Able to communicate thoughts","Sibling"
"Able to dress","Life unbearable","Parent"
"Able to dress","Life bearable","Parent"
"Able to move","Able to walk","Sibling"
"Able to move","Able to talk","Sibling"
"Able to move","Able to communicate thoughts","Sibling"
"Able to move","Impaired capacity","Child"
"Able to move","Life unbearable","Parent"
"Able to move","Life bearable","Parent"
